SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506720,ZANDUREALTY ,T ,Q,2020.00,2151.00,2010.00,2073.70,2073.70,2055.55,127,905,1902791.00,
506734,MYS PETRO   ,X ,Q,140.00,142.50,140.00,140.55,142.50,140.70,33,1754,246594.00,
506767,ALKYL AMINES,B ,Q,585.30,587.00,573.40,586.00,586.00,586.70,63,1630,950148.00,
506808,TUTICORIN.  ,ST,Q,12.50,12.92,12.50,12.50,12.50,12.32,5,1100,13792.00,
506820,ASTRAZEN.PH.,B ,Q,1169.90,1180.00,1125.00,1125.65,1125.00,1158.45,43,231,262666.00,
506852,PUN.ALKALI  ,XT,Q,30.10,30.65,29.75,30.00,29.75,30.05,40,13213,396162.00,
506854,TANFAC IND. ,XT,Q,142.00,142.55,136.25,139.65,138.45,135.80,321,60800,8612800.00,
506858,GUJ.PETRO   ,XT,Q,19.90,19.90,19.90,19.90,19.90,20.90,1,46,915.00,
506863,SWADESHI IND,SS,Q,3.24,3.24,3.24,3.24,3.24,3.24,26,6315,20460.00,
506879,GUJ.THEMIS. ,X ,Q,58.00,58.95,57.25,58.00,58.00,58.70,132,17754,1034982.00,
506910,JAYSN DYEST ,X ,Q,76.00,76.00,68.50,70.65,70.00,72.00,21,2390,169800.00,
506919,MAKERS LAB. ,X ,Q,96.25,98.00,93.05,93.80,93.35,96.25,48,4488,427727.00,
506943,J.B.CHEMICAL,B ,Q,299.95,305.00,297.00,298.40,297.00,299.10,426,10011,3017612.00,
506975,RAJ.PETRO   ,P ,Q,3.37,3.37,3.37,3.37,3.37,3.21,7,7200,24264.00,
506981,BL.CHIP TEX ,X ,Q,117.00,117.00,114.50,114.55,114.55,116.90,39,2883,331995.00,
507155,JAGATJIT IND,XT,Q,75.00,78.75,72.10,77.45,76.05,75.00,59,17374,1342260.00,
507180,KESAR ENT.  ,B ,Q,63.10,75.80,61.20,73.75,73.75,64.20,489,40252,2825014.00,
507205,TILAKNAG IND,T ,Q,20.55,21.05,20.00,20.05,20.00,21.05,81,19322,394229.00,
507315,SAKTHI SUGAR,B ,Q,25.30,25.30,24.30,24.35,24.35,24.75,36,7879,192461.00,
507410,WALCHANDNGR ,B ,Q,225.55,238.00,225.50,231.40,231.40,226.05,4452,302855,70682891.00,
507435,KHOD.INDIA  ,XT,Q,68.75,71.50,68.75,71.30,71.50,68.80,8,1910,136132.00,
507438,IFB AGRO    ,T ,Q,725.00,725.00,706.05,710.05,710.05,710.75,9,169,121021.00,
507442,DHARANI SUG ,B ,Q,30.05,30.05,29.60,29.95,30.00,30.45,32,8740,261319.00,
507450,THIRU A.SUG.,B ,Q,61.50,63.00,61.50,62.65,62.00,63.25,45,6060,378736.00,
507474,KOTHARI FERM,X ,Q,52.90,52.90,50.60,51.00,51.00,50.85,22,2127,109883.00,
507488,G.M.BREWERI ,B ,Q,815.00,826.90,804.85,809.80,809.80,804.80,677,9201,7489888.00,
507490,RANA SUGARS ,B ,Q,7.06,7.18,7.06,7.10,7.10,7.10,55,47910,340435.00,
507498,PICCADILY SU,X ,Q,8.90,8.90,8.00,8.00,8.00,8.19,35,6749,55434.00,
507506,GIRDHAR. SUG,P ,Q,12.50,12.55,12.50,12.55,12.55,11.96,2,200,2505.00,
507508,RIGA SUGAR  ,X ,Q,15.85,16.35,15.85,16.00,16.00,16.40,4,534,8539.00,
507514,SOM DISTILL.,B ,Q,173.55,176.00,171.00,171.95,173.00,173.30,279,53121,9162926.00,
507515,CJ GELATIN  ,XT,Q,8.34,8.34,8.34,8.34,8.34,8.75,3,100,834.00,
507525,AMRIT CORP  ,XT,Q,1155.00,1210.65,1155.00,1161.00,1161.00,1153.00,11,59,69865.00,
507526,ASSO.ALCOHOL,X ,Q,236.00,240.00,220.50,228.10,227.00,239.55,603,88773,20159798.00,
507552,FOODS & INNS,X ,Q,1449.00,1449.00,1277.00,1304.00,1277.00,1353.20,62,823,1097077.00,
507580,IVP LIMITED ,B ,Q,193.60,193.60,190.00,190.00,190.00,190.60,15,1147,218502.00,
507598,KLRF LTD    ,X ,Q,90.30,90.30,88.50,88.55,88.55,91.25,50,2664,236495.00,
507621,MILKFOOD    ,X ,Q,267.00,274.95,257.00,270.75,270.75,263.95,234,31761,8414783.00,
507645,POLSON LTD. ,XT,Q,13474.80,13988.00,13300.00,13441.65,13500.00,13323.40,84,137,1867964.00,
507649,RASOI LTD.  ,X ,Q,36500.00,36500.00,36000.05,36200.00,36000.05,36000.05,6,6,217200.00,
507685,WIPRO LTD.  ,A ,Q,290.00,290.95,285.30,287.20,287.20,289.25,1048,122225,35166150.00,
507690,ORIENT BEVER,X ,Q,113.00,113.00,105.00,105.35,105.15,106.00,34,1598,170374.00,
507717,DHAN AGRI   ,B ,Q,687.85,688.90,679.00,685.25,687.95,685.95,84,751,514056.00,
507747,TTK HEALTHCA,B ,Q,840.00,840.00,832.00,832.00,832.00,845.00,10,157,131272.00,
507753,TGVSL       ,X ,Q,68.20,68.20,65.70,65.95,65.95,67.55,572,125820,8356275.00,
