SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
507998,SIMMONDS-MAR,X ,Q,107.10,113.00,107.00,108.30,108.50,108.85,202,19671,2152323.00,
508136,BNALTD      ,X ,Q,316.95,316.95,295.00,296.90,300.00,307.75,59,2966,893176.00,
508486,HAWKINS COOK,B ,Q,2915.00,2950.00,2910.40,2936.40,2936.40,2944.10,178,532,1563381.00,
508494,WARREN TEA  ,XT,Q,144.50,147.65,137.75,137.85,137.85,145.00,66,7815,1084637.00,
508670,NEELAMALAI  ,P ,Q,1428.05,1428.05,1428.05,1428.05,1428.05,1484.65,1,100,142805.00,
508807,IST LTD.    ,XT,Q,1182.00,1249.00,1182.00,1215.00,1215.00,1210.00,11,94,114739.00,
508814,COSMO FILMS ,B ,Q,347.60,353.00,347.60,350.25,351.00,349.35,152,5024,1766241.00,
508860,DIAMANT     ,ST,Q,0.64,0.64,0.64,0.64,0.64,0.67,3,1022,654.00,
508869,APOLLO HOSP.,A ,Q,1194.55,1206.00,1177.00,1190.75,1190.75,1191.80,771,13015,15486740.00,
508875,NITINCAST   ,XT,Q,183.00,183.00,173.00,173.50,173.50,181.10,8,150,26226.00,
508905,SMIFS CAPITA,X ,Q,50.45,50.50,50.45,50.50,50.50,50.65,4,1000,50492.00,
508906,EVEREST INDS,B ,Q,539.80,544.55,519.45,524.50,527.00,538.40,278,6617,3531783.00,
508918,GREYCELLS   ,X ,Q,40.85,40.85,40.85,40.85,40.85,43.00,1,5,204.00,
508922,MSR INDIA   ,X ,Q,34.60,36.90,34.60,35.50,35.80,35.30,34,12868,449726.00,
508933,AYMSYNTEX   ,B ,Q,60.00,61.00,59.30,60.00,59.30,60.00,30,3009,181528.00,
508941,PANASON CAR ,X ,Q,600.00,600.00,580.10,589.20,590.00,593.10,98,2546,1499155.00,
508956,HB LEAS.PUB ,XT,Q,2.66,2.66,2.66,2.66,2.66,2.61,3,500,1330.00,
508969,SULABH ENG. ,X ,Q,24.60,24.60,24.60,24.60,24.60,24.60,1,1,24.00,
508989,NAVNETEDUL  ,B ,Q,158.90,161.15,157.00,159.35,160.00,158.55,172,7665,1222851.00,
508996,SATPROP LTD ,X ,Q,5.60,6.25,5.50,5.62,5.62,5.98,54,28042,163980.00,
508998,STERL INTER ,X ,Q,1.12,1.20,1.10,1.15,1.16,1.06,113,143584,165601.00,
509009,AUSOM ENT   ,B ,Q,87.45,87.45,78.80,79.60,78.80,87.45,650,58158,4752958.00,
509020,RUCHI INFRA.,T ,Q,4.05,4.05,4.05,4.05,4.05,4.25,6,23683,95916.00,
509048,LANCOR HOLDS,X ,Q,37.55,37.95,36.30,36.65,36.65,37.30,49,14891,548328.00,
509051,INDIAN INFO.,XT,Q,0.19,0.20,0.19,0.19,0.19,0.19,176,1035306,199889.00,
509053,BANAS FIN.  ,X ,Q,4.90,4.95,4.80,4.95,4.95,4.75,9,2201,10780.00,
509055,VISAKA IND. ,B ,Q,632.20,643.95,625.00,627.95,627.95,638.55,632,7024,4433371.00,
509077,PRESSMN     ,B ,Q,78.15,78.25,74.55,75.15,74.80,77.80,77,6865,521831.00,
509079,GUFIC BIO SC,B ,Q,97.80,106.35,96.05,102.80,102.80,97.65,2746,271809,27909694.00,
509148,GOVIND RUBB.,X ,Q,24.95,24.95,23.35,23.55,23.55,24.25,168,35418,845060.00,
509152,GRPLTD      ,B ,Q,1330.00,1330.00,1330.00,1330.00,1330.00,1314.95,1,1,1330.00,
509162,INDAG RUBBER,X ,Q,175.20,185.00,175.00,183.65,184.00,179.75,258,35303,6382122.00,
509196,M.M.RUBBER  ,P ,Q,46.90,46.90,46.90,46.90,46.90,46.90,1,300,14070.00,
509220,PTL LTD     ,T ,Q,56.40,56.40,53.50,54.90,54.90,54.60,41,4031,218991.00,
509243,TVS SRICHAKR,B ,Q,3349.95,3435.20,3328.40,3396.95,3365.00,3341.50,104,607,2058884.00,
509438,BENARES HOT ,XT,Q,1091.05,1101.00,1091.00,1100.95,1101.00,1090.00,12,111,122118.00,
509449,BHAGWATI OXY,XT,Q,34.70,34.70,34.70,34.70,34.70,33.05,1,447,15510.00,
509472,CRAVATEX    ,X ,Q,470.00,470.00,445.00,457.70,460.00,473.00,7,193,89105.00,
509480,BERGE PAINT ,A ,Q,252.20,255.40,246.85,251.45,251.45,252.20,896,77756,19540446.00,
509486,CAPRIHANS   ,X ,Q,115.15,116.35,113.00,114.80,116.35,115.60,53,7376,848770.00,
509488,GRAPHITE IN.,B ,Q,638.00,663.85,630.00,653.50,653.50,633.90,9747,462506,301000569.00,
509496,ITDCEM      ,B ,Q,206.90,207.40,201.65,202.40,202.40,204.60,245,12837,2622117.00,
509525,EMPIRE IND. ,B ,Q,2067.00,2067.00,2012.00,2015.70,2020.00,2008.20,36,651,1312600.00,
509550,GAMMON INDIA,Z ,Q,6.20,6.20,6.00,6.09,6.10,6.05,55,40285,245058.00,
509557,GARWARE WALL,B ,Q,914.10,922.10,914.05,918.80,914.05,921.10,32,380,348320.00,
509567,GOA CARBON  ,B ,Q,812.00,831.00,800.40,811.20,811.20,820.50,1753,47567,38701968.00,
509597,HARDCASTLE  ,X ,Q,314.95,329.00,307.00,329.00,329.00,311.90,10,125,39354.00,
509627,HIND.DORR   ,T ,Q,7.05,7.75,7.05,7.75,7.75,7.39,71,95609,734579.00,
509631,HEG LIMITED ,B ,Q,1920.00,1962.20,1867.35,1962.20,1962.20,1868.80,3554,65613,127135105.00,
509635,HIND.COMPOSI,B ,Q,463.00,470.80,461.20,465.85,465.85,467.30,53,10956,5105975.00,
509675,HIL         ,B ,Q,1276.00,1276.50,1242.50,1250.10,1242.50,1279.75,49,582,731162.00,
509692,IND.CARD    ,B ,Q,184.00,223.20,184.00,216.05,216.05,186.00,618,35243,7595850.00,
509709,INT.CONVEYOR,X ,Q,26.00,27.90,22.35,26.50,27.90,25.80,113,23341,602832.00,
509715,JAYSHRE TEA ,T ,Q,114.50,117.00,111.00,114.15,114.40,115.45,180,32181,3641339.00,
509760,MODERN SHARE,X ,Q,16.00,16.00,16.00,16.00,16.00,16.00,1,100,1600.00,
509820,PAPERPROD   ,B ,Q,368.80,387.00,350.00,359.80,360.00,360.20,801,24323,8670348.00,
509835,PREMIER SYN.,X ,Q,93.00,98.05,91.00,97.45,97.45,89.15,50,6627,624306.00,
509874,SHALIMAR PAI,B ,Q,205.85,205.85,194.20,196.65,195.50,202.65,228,11008,2192213.00,
509895,HIND MILLS  ,X ,Q,341.05,355.00,339.15,354.00,354.00,351.50,22,307,105616.00,
509930,SUPREM IND  ,A ,Q,1177.95,1182.95,1153.90,1172.40,1172.40,1177.00,134,2950,3465021.00,
509945,THACKER     ,XT,Q,151.00,151.00,149.15,149.15,149.15,157.00,14,2034,304877.00,
509966,VST INDUS.  ,B ,Q,3209.50,3209.50,3159.35,3206.45,3209.00,3158.10,7,16,51268.00,
510245,SWASTI VINAY,X ,Q,4.98,5.29,4.60,4.70,4.65,4.98,192,177807,856391.00,
511012,YAMINI INVES,XT,Q,11.08,11.08,11.08,11.08,11.08,11.66,5,381,4221.00,
511034,JINDAL DRILL,B ,Q,159.00,165.15,157.10,162.80,162.80,157.20,609,32650,5298039.00,
511066,SAKTHI FIN. ,X ,Q,36.85,36.85,35.00,35.55,35.55,35.95,39,8766,310105.00,
511072,DEWAN H.FIN.,A ,Q,597.15,599.00,579.50,582.75,582.75,600.10,1913,118045,69611306.00,
511076,SAT IND LTD ,X ,Q,33.80,35.10,33.60,33.85,33.75,32.95,79,35676,1215349.00,
511116,QUADRANT    ,X ,Q,1.90,1.93,1.75,1.84,1.83,1.83,20,15679,29792.00,
511131,KAMAN HSG   ,X ,Q,15.00,15.00,14.80,14.80,14.80,15.10,7,308,4593.00,
511144,ASYAINFO    ,X ,Q,47.90,51.00,46.00,49.35,50.05,45.75,230,41418,2010847.00,
511147,WALL ST.FIN.,XT,Q,39.00,40.90,39.00,40.00,40.00,39.10,12,2375,95820.00,
511153,ANJANIFOODS ,XT,Q,23.80,23.80,23.80,23.80,23.80,22.70,1,5,119.00,
511196,CANFIN HOMES,A ,Q,484.50,484.50,465.45,467.40,467.40,483.95,1682,80378,38021146.00,
511208,IL & FS INVE,B ,Q,27.80,29.40,27.10,29.00,29.00,27.80,3563,1784383,50782272.00,
511218,SHRIRAM TRAN,A ,Q,1394.00,1394.00,1360.00,1363.70,1363.70,1391.70,992,185575,255868427.00,
511243,CHOLAFIN    ,A ,Q,1290.00,1291.80,1267.30,1275.70,1275.70,1296.20,832,8263,10589228.00,
511288,GRUH FINANCE,A ,Q,498.20,519.90,497.35,517.30,517.30,502.25,814,28824,14834419.00,
511333,VLS FINANCE ,B ,Q,91.30,94.50,90.00,90.70,90.70,91.50,605,59487,5489304.00,
511355,IND CEM CAP ,X ,Q,5.73,5.75,5.50,5.75,5.75,5.75,10,4950,28247.00,
511359,AD-MANUM FIN,X ,Q,43.00,43.00,43.00,43.00,43.00,42.00,1,1,43.00,
511377,MEHTA I.FIN ,XT,Q,6.60,6.85,6.60,6.85,6.85,6.94,3,700,4665.00,
511389,VIDEOCON IND,A ,Q,18.45,18.45,18.45,18.45,18.45,19.40,111,34980,645381.00,
511391,INTER GLOB F,XT,Q,24.95,26.25,24.95,25.00,25.00,26.25,5,421,10632.00,
511411,SHRISTINFRA ,X ,Q,339.00,339.00,302.85,304.00,304.00,310.25,48,2115,644998.00,
511413,CREST       ,B ,Q,256.35,259.55,251.60,251.75,251.65,256.65,42,793,203156.00,
511431,VAKRANGEE   ,A ,Q,765.00,765.00,746.00,748.70,748.70,761.00,2240,111270,83588377.00,
511451,DHARANI FIN.,XT,Q,13.04,13.04,13.04,13.04,13.04,13.04,5,1190,15517.00,
511463,ALEXANDER   ,X ,Q,26.90,26.95,25.60,26.70,26.80,26.90,71,15871,420381.00,
511473,IND.BANK MER,B ,Q,20.75,20.75,20.40,20.40,20.40,20.90,25,7503,154172.00,
511501,BHARAT BHUSH,X ,Q,20.00,21.65,19.95,21.55,21.55,20.65,16,2645,56843.00,
511505,CAPITAL TRUS,B ,Q,539.75,539.75,493.00,516.00,517.50,526.75,190,5282,2692381.00,
511509,VIVO BIO TEC,XT,Q,44.80,44.80,42.10,42.80,42.10,44.30,93,12090,519007.00,
511523,VEERHEALTH  ,X ,Q,12.76,12.76,12.76,12.76,12.76,10.64,38,24352,310731.00,
511533,SAHARA HOUSG,X ,Q,79.45,79.45,72.00,72.50,72.50,75.00,29,3828,285767.00,
511539,SUPRATRE    ,XT,Q,15.00,15.00,15.00,15.00,15.00,15.70,1,25,375.00,
511543,GSB FINANCE ,X ,Q,9.60,10.60,9.60,10.60,10.60,10.10,6,977,10196.00,
511551,MONARCH     ,X ,Q,76.00,77.75,75.00,75.40,75.05,77.05,76,5747,434371.00,
511557,PRO FIN CAP.,XT,Q,236.00,236.85,229.65,236.40,236.85,236.00,14,1554,367321.00,
511559,TIMES GUARAN,B ,Q,78.00,85.75,77.65,85.75,85.75,81.70,211,28145,2341480.00,
511589,AVONMORE    ,X ,Q,36.00,36.00,31.80,32.30,32.60,34.80,527,146169,4850924.00,
511593,LIBORD FIN  ,X ,Q,12.05,12.05,12.00,12.00,12.00,11.50,7,1500,18055.00,
511597,PALSOFT INFO,XT,Q,12.95,13.00,12.95,13.00,13.00,13.00,3,591,7680.00,
511601,YASH MANAGE.,ST,Q,14.99,15.06,14.30,15.00,15.00,14.35,21,9810,146991.00,
511605,ARIHANT CAP.,X ,Q,166.00,168.85,163.10,163.80,164.00,165.55,137,11618,1926147.00,
511611,DCM FINANCIA,B ,Q,3.40,3.40,3.30,3.30,3.30,3.40,2,130,439.00,
511626,R R FINANCE.,SS,Q,16.30,16.30,16.30,16.30,16.30,17.15,2,450,7335.00,
511628,IMCAP       ,X ,Q,69.00,75.00,69.00,70.70,70.70,69.05,32,22589,1589397.00,
511630,SAMBHAAV MED,B ,Q,13.00,13.80,13.00,13.10,13.00,13.63,36,21758,289028.00,
511654,SUGAL DAM   ,X ,Q,14.90,14.91,14.90,14.91,14.91,14.55,3,1001,14924.00,
511658,NETTLINX LTD,X ,Q,69.35,69.35,66.00,68.65,66.00,68.95,100,7247,497677.00,
511664,BGIL FL TEC ,XT,Q,3.59,3.59,3.59,3.59,3.59,3.59,1,100,359.00,
511672,SCANSTL     ,XT,Q,21.00,21.00,19.00,21.00,21.00,20.00,6,621,12341.00,
511676,GIC HOUSING ,B ,Q,411.50,416.40,408.10,408.95,409.05,411.75,603,15366,6324349.00,
511688,MATHEW EASOW,XT,Q,20.55,20.55,20.55,20.55,20.55,21.00,1,500,10275.00,
511692,AJCON GLOBAL,X ,Q,29.40,29.40,26.60,26.60,26.60,28.00,8,961,26962.00,
511696,CHARTERED CA,X ,Q,62.55,62.55,57.00,57.00,57.00,59.60,3,85,4928.00,
511702,PARSHARTI IN,X ,Q,5.98,5.98,5.98,5.98,5.98,5.70,3,495,2960.00,
511724,BAID LEASING,X ,Q,176.00,176.40,175.50,176.15,176.40,175.90,88,33429,5883479.00,
511726,VIPUL LTD   ,B ,Q,73.70,74.65,73.50,73.60,73.50,74.20,72,8123,599666.00,
511728,KZ LEAS FIN.,X ,Q,8.30,8.30,8.30,8.30,8.30,8.54,1,1,8.00,
511734,PASUPATI FIN,XT,Q,3.43,3.43,3.43,3.43,3.43,3.61,1,300,1029.00,
511736,USHDEV INTNL,XT,Q,2.41,2.58,2.41,2.55,2.55,2.53,29,20242,48894.00,
511742,CHOKHANI SEC,X ,Q,48.00,48.00,48.00,48.00,48.00,45.75,6,1600,76800.00,
511754,SHALIB.FINAN,X ,Q,134.95,134.95,128.00,128.00,128.00,128.45,6,1460,195537.00,
511756,ABIRAMI FIN.,X ,Q,9.41,9.41,9.41,9.41,9.41,9.41,1,50,470.00,
511758,MANSI FINANC,XT,Q,37.90,37.90,37.90,37.90,37.90,36.10,1,10,379.00,
511764,UPASANA FIN.,XT,Q,27.65,27.65,27.65,27.65,27.65,27.65,1,100,2765.00,
511766,MUTHOOT CAP ,B ,Q,606.60,621.00,599.45,608.30,621.00,611.15,60,690,416966.00,
512018,CNI RES LTD ,ST,Q,3.09,3.34,3.09,3.34,3.34,3.25,4,1000,3090.00,
512047,ROYAL IND   ,X ,Q,1.80,1.80,1.80,1.80,1.80,1.89,3,207,372.00,
512068,DECCANGOLD  ,X ,Q,37.30,37.80,36.50,36.80,36.80,37.30,225,95862,3557772.00,
512070,UPL         ,A ,Q,750.00,750.00,727.00,729.80,729.80,745.60,1171,40041,29577637.00,
512093,CRANES SOFTW,B ,Q,1.50,1.60,1.46,1.48,1.47,1.58,19,19048,28730.00,
512103,NIDHI GRANIT,XT,Q,20.05,22.00,20.00,20.00,20.00,21.00,8,1182,25010.00,
512109,AVIVA INDS  ,X ,Q,15.45,15.45,15.45,15.45,15.45,15.75,1,200,3090.00,
512131,SIGNET IND  ,T ,Q,8.99,9.15,8.51,8.71,8.71,8.77,101,100295,882069.00,
512135,ENSA STEEL  ,X ,Q,4.51,4.51,4.51,4.51,4.51,4.74,3,601,2710.00,
512161,8KMILES     ,B ,Q,928.65,943.00,911.00,917.00,917.00,920.10,1002,21367,19755257.00,
512169,CAPRICORN   ,XT,Q,8.15,8.15,8.15,8.15,8.15,7.80,1,209,1703.00,
512175,VAMA INDS   ,XT,Q,27.85,27.85,26.75,27.00,27.00,27.10,24,7367,198748.00,
512179,SUNTECK REAL,B ,Q,419.70,426.00,412.10,414.40,414.40,418.70,1127,43726,18303973.00,
512197,SILVEROAK   ,XT,Q,3.19,3.19,3.19,3.19,3.19,3.04,1,50,159.00,
512217,PRISM MEDI  ,X ,Q,31.30,31.45,29.20,30.65,30.65,31.20,21,7096,214302.00,
512237,JAI CORP LTD,B ,Q,176.05,190.00,175.80,179.75,179.75,177.70,8728,1192436,217939539.00,
512247,ASHIRWAD CAP,ST,Q,2.82,3.00,2.82,2.91,3.00,2.91,26,11219,32265.00,
512257,SVARTCORP   ,X ,Q,8.00,8.00,7.60,7.65,7.65,7.80,60,39522,306257.00,
512267,MEDIA MATRIX,ST,Q,6.50,6.50,6.50,6.50,6.50,6.50,3,7500,48750.00,
512289,SHIRPUR GOLD,B ,Q,164.00,167.50,164.00,165.80,165.80,166.10,20,1183,196331.00,
512296,BHAGYA INL  ,B ,Q,51.90,52.85,48.90,50.20,50.25,51.00,325,46988,2392542.00,
512297,SHANTAI     ,X ,Q,146.00,146.00,140.00,140.60,140.00,148.00,15,315,44575.00,
512299,STERL.BIOTEC,B ,Q,3.20,3.24,3.16,3.20,3.22,3.24,40,25729,82576.00,
512301,CHAMBAL BREW,X ,Q,5.37,5.37,5.37,5.37,5.37,5.49,1,500,2685.00,
512393,SHARDUL SECU,X ,Q,44.10,44.10,42.40,42.40,42.40,42.00,16,1710,74903.00,
512399,KAPASHI COMM,XT,Q,54.10,54.10,54.10,54.10,54.10,53.05,2,1252,67733.00,
512405,I-POWER SOLS,XT,Q,1.90,1.90,1.90,1.90,1.90,2.00,4,913,1734.00,
512417,TRITRADE    ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,4,451,220.00,
512425,NIRAV COMMER,X ,Q,222.00,222.00,221.00,221.00,221.00,226.50,6,138,30626.00,
512441,ENBEE TRADG.,XT,Q,87.00,87.25,87.00,87.25,87.25,87.00,3,12,1044.00,
512453,SHRI JAGDAMB,XT,Q,153.30,153.30,153.30,153.30,153.30,153.30,1,20,3066.00,
512455,LLOYDS MET E,X ,Q,17.45,18.00,17.25,17.65,17.65,17.85,36,64954,1125589.00,
512463,SHREE GLOBAL,XT,Q,4.33,4.33,4.33,4.33,4.33,4.55,5,5100,22083.00,
512489,OASIS SECUR.,XT,Q,26.45,26.45,26.45,26.45,26.45,27.80,2,370,9786.00,
512493,GARNET INTL ,X ,Q,792.00,802.00,763.00,801.30,801.00,791.50,42,688,547191.00,
512499,SHALIMAR PRO,X ,Q,0.49,0.49,0.49,0.49,0.49,0.49,2,1099,538.00,
512519,DONEAR IND. ,T ,Q,67.55,72.65,67.25,69.15,69.30,70.70,84,8125,564285.00,
512527,SUPER SAL IN,X ,Q,740.00,740.00,707.00,721.00,720.00,716.20,63,1516,1090993.00,
512529,SEQUENT     ,B ,Q,98.80,101.50,98.80,99.25,99.25,100.10,215,22864,2269023.00,
512531,STC INDIA   ,T ,Q,170.00,173.00,166.80,168.55,168.55,172.05,127,4940,841474.00,
512559,KOHINORFOODS,B ,Q,76.75,78.25,75.00,75.30,75.30,76.70,975,83911,6425335.00,
512565,R.T.EXPORTS ,X ,Q,9.00,9.00,9.00,9.00,9.00,9.03,1,358,3222.00,
512573,AVANTI FEEDS,B ,Q,2640.00,2640.00,2551.15,2562.35,2562.35,2606.25,798,6997,18116317.00,
512579,GUJ.NRE COKE,T ,Q,1.60,1.63,1.55,1.56,1.60,1.62,106,258730,408405.00,
512587,ZODIAC JRD  ,B ,Q,46.80,46.80,42.65,43.20,43.15,44.60,23,3250,142805.00,
512597,KEYNOTE CORP,B ,Q,62.50,62.55,58.60,58.60,58.60,59.60,4,500,30879.00,
512599,ADANI ENTER ,A ,Q,153.35,154.90,149.15,152.55,151.10,153.35,3023,823570,125375272.00,
512604,HARIA EXPORT,X ,Q,2.60,2.65,2.60,2.65,2.65,2.55,3,380,993.00,
512608,BHANDARI HOS,T ,Q,3.95,4.10,3.90,4.00,4.00,4.01,79,66381,262620.00,
512624,REGENTRP    ,XT,Q,4.91,5.40,4.91,5.40,5.40,5.15,7,911,4661.00,
512626,ORBIT EXPORT,B ,Q,150.05,150.50,143.00,145.80,144.90,151.05,46,1421,207768.00,
512634,SAVERA IND  ,X ,Q,80.00,81.95,79.05,80.50,79.05,82.00,9,3716,301816.00,
513005,VBC FERRO   ,XT,Q,41.80,42.30,41.80,42.30,42.30,44.00,3,125,5272.00,
513010,TATA SPONGE ,A ,Q,934.00,936.70,920.25,924.45,924.45,932.50,660,19487,18068428.00,
513023,NAV BHAR VEN,B ,Q,141.00,141.00,138.00,138.50,138.50,140.00,336,21463,2996763.00,
513043,REMI EDEL   ,X ,Q,40.00,40.00,37.55,38.10,38.10,40.00,13,370,14460.00,
513059,G.S.AUTO INT,X ,Q,11.21,12.15,11.21,11.64,11.64,11.67,57,15306,183324.00,
513097,SHIV.BIMETAL,X ,Q,89.00,90.45,86.00,88.50,89.30,93.70,611,125390,11127320.00,
513108,GANDHI SP.TU,B ,Q,354.00,355.00,345.00,350.60,350.60,368.05,531,14758,5159321.00,
513121,ORICON ENT  ,B ,Q,56.60,56.95,55.50,55.90,55.90,56.60,279,40328,2263628.00,
513142,BALASORE    ,X ,Q,86.50,88.50,85.90,86.55,86.55,85.60,1538,375267,32723062.00,
513149,ACROW INDIA ,XT,Q,126.20,135.00,126.20,126.90,126.90,128.60,4,127,16130.00,
513151,STI INDIA LT,B ,Q,18.00,18.00,16.30,17.95,17.95,17.20,7,306,5282.00,
513179,NAT STL AGRO,B ,Q,42.25,43.00,41.00,41.30,41.30,42.25,89,15368,647979.00,
513216,UTTAM GALVA ,B ,Q,23.40,23.80,22.60,22.90,22.90,23.85,2334,549169,12758382.00,
513228,PENNAR STEEL,B ,Q,62.75,63.60,62.05,62.20,62.05,63.10,345,43171,2698633.00,
513250,JYOTI STRUCT,B ,Q,9.39,9.39,9.01,9.33,9.34,9.25,95,73011,676402.00,
513252,JAY USHIN   ,XT,Q,565.70,566.05,550.15,566.05,566.05,539.10,104,3197,1802626.00,
513262,ST.STR.WHEEL,B ,Q,1005.50,1034.00,997.00,999.30,997.00,997.75,190,1544,1556426.00,
513269,MAN IND.(I) ,B ,Q,114.90,115.50,111.00,111.50,111.50,114.55,457,62820,7085645.00,
513335,METALFORGE  ,T ,Q,33.75,33.75,32.35,32.60,33.00,32.60,28,3350,110136.00,
513349,AJMERA      ,B ,Q,328.90,328.95,311.35,312.35,312.35,327.75,1218,64815,20544719.00,
513353,COCHIN MIN. ,X ,Q,140.00,140.00,135.05,135.35,135.05,139.30,20,1513,206236.00,
513361,ISW LTD     ,ST,Q,2.69,2.89,2.66,2.71,2.70,2.80,70,154245,422950.00,
513369,RAJKUMAR FRG,XT,Q,48.50,52.00,48.00,52.00,52.00,50.50,4,350,17029.00,
513375,CARBORUNDUM ,A ,Q,381.10,383.20,380.00,380.75,380.95,382.05,404,11173,4258792.00,
513377,MINERAL&METL,A ,Q,71.00,73.00,69.95,70.45,70.45,71.20,2334,514065,36699081.00,
513397,VALLABH STEL,X ,Q,32.95,33.00,31.80,31.80,31.80,33.45,4,420,13721.00,
513401,ASHIANA ISP.,X ,Q,28.40,28.40,27.10,27.10,27.10,27.70,5,1210,32847.00,
513414,SMPL        ,T ,Q,1.48,1.49,1.41,1.47,1.47,1.44,14,16037,23553.00,
513418,SMFIL       ,XT,Q,0.39,0.39,0.39,0.39,0.39,0.41,4,792,308.00,
513434,TATA METALIK,B ,Q,819.10,821.95,806.00,810.75,810.75,817.85,756,22872,18646799.00,
513436,SHAH ALLOYS ,B ,Q,18.00,19.00,18.00,18.85,18.85,18.20,10,1733,32738.00,
513446,MONNETISPA  ,B ,Q,31.10,34.50,31.10,33.30,33.30,32.10,1022,173362,5780731.00,
513452,ELANGO INDUS,XT,Q,5.00,5.00,5.00,5.00,5.00,5.10,3,9,45.00,
513456,KANISHK ST. ,XT,Q,8.75,8.75,8.75,8.75,8.75,9.14,1,500,4375.00,
513472,SIMPLEX CAST,XT,Q,154.65,154.95,147.00,152.25,153.00,151.65,15,1490,228424.00,
513488,SH.STEEL WIR,XT,Q,22.10,22.10,20.25,20.25,20.25,21.05,13,1631,34414.00,
513507,GUJ.CONTAIN.,P ,Q,14.97,14.97,14.97,14.97,14.97,14.26,1,500,7485.00,
513509,KALYANI FORG,T ,Q,328.00,342.90,328.00,335.40,332.00,328.10,44,1149,383066.00,
513511,PANCH.STEEL ,XT,Q,58.00,58.00,55.80,56.10,56.10,58.15,39,18409,1034637.00,
513515,S.R.INDUS.  ,XT,Q,25.70,25.70,25.70,25.70,25.70,25.70,13,37736,969815.00,
513517,STEELCAST   ,X ,Q,182.00,184.00,175.50,175.50,175.50,175.60,33,2106,372997.00,
513519,PITTI LAMIN.,B ,Q,95.00,99.00,94.00,96.10,96.10,94.10,1390,124386,12051996.00,
513528,GLITTEK GRAN,SS,Q,2.43,2.56,2.43,2.50,2.50,2.70,8,6100,15354.00,
513532,PRADEEP MET.,X ,Q,96.00,96.00,92.00,92.85,93.00,95.05,20,1122,105468.00,
513534,VARDHMAN IND,X ,Q,12.21,13.01,12.20,12.61,12.50,13.34,47,10875,137621.00,
513536,GNRL        ,X ,Q,29.00,29.00,29.00,29.00,29.00,28.35,2,200,5800.00,
513554,MAHA STEEL  ,B ,Q,70.25,72.00,69.20,71.55,71.00,70.95,31,1516,106909.00,
513558,REAL STRIPS ,XT,Q,10.15,10.15,10.15,10.15,10.15,10.67,8,1813,18401.00,
513566,NOVA IRON&ST,XT,Q,13.36,13.36,13.36,13.36,13.36,12.75,1,25,334.00,
513597,SURANA INDS ,B ,Q,4.38,4.40,3.74,3.74,3.74,4.15,181,175097,694060.00,
513599,HIND.COPPER ,A ,Q,91.00,91.65,88.75,89.15,89.15,91.10,2391,572791,51790538.00,
513605,SRIPIPES    ,B ,Q,390.00,392.40,374.20,384.25,384.25,390.80,368,19117,7392227.00,
513642,AXEL POLYMER,XT,Q,21.55,21.55,21.55,21.55,21.55,21.55,1,100,2155.00,
513683,NLCINDIA    ,A ,Q,105.20,105.85,104.00,104.70,104.70,105.25,316,43018,4513889.00,
513687,SPECTRA IND.,X ,Q,34.70,38.00,34.00,34.70,34.00,36.50,48,3987,143352.00,
513691,JMT AUTO LTD,T ,Q,4.90,5.12,4.65,4.93,4.93,4.88,111,72916,354240.00,
513693,KIC METALIKS,X ,Q,151.80,151.85,148.00,149.85,150.00,148.90,28,5020,759547.00,
513709,SHILP GRAVUR,X ,Q,130.00,132.00,129.00,129.30,129.00,130.85,102,4302,560106.00,
513713,WHITEORG    ,XT,Q,111.90,111.90,104.85,108.55,108.95,109.55,137,19313,2076166.00,
513729,ARO GRANITE ,B ,Q,68.00,69.90,67.70,67.95,67.95,68.40,78,11142,764026.00,
514010,HIM.FIBRES  ,X ,Q,6.90,6.90,5.50,5.64,5.50,6.12,33,11628,65737.00,
514028,RAJKAMAL SYN,XT,Q,10.01,10.01,10.01,10.01,10.01,10.00,21,5003,50080.00,
514030,DEEPAK SPINN,X ,Q,87.15,88.50,86.00,88.40,88.50,88.35,18,2425,212173.00,
514034,JBF IND.LTD ,B ,Q,215.45,216.25,208.00,208.65,208.65,217.90,438,21194,4508491.00,
514036,LOY.TEX MILL,X ,Q,711.00,711.00,644.40,644.40,644.40,653.05,2,15,10065.00,
514043,HIMAT.SEIDE ,B ,Q,363.25,365.55,351.00,354.85,354.85,363.00,542,19046,6842566.00,
514045,BSL LTD.    ,B ,Q,83.05,84.45,76.00,77.75,77.75,82.80,629,31419,2524061.00,
514087,PBM POLYTEX ,X ,Q,98.00,99.50,91.05,93.50,93.50,95.05,241,19245,1802391.00,
514138,SURYALATA SP,X ,Q,140.00,143.00,140.00,143.00,143.00,140.45,4,501,70143.00,
514142,TT LTD.     ,B ,Q,83.55,91.80,83.40,85.60,85.60,85.15,649,54269,4792100.00,
514144,UNIWORTH LTD,XT,Q,0.56,0.56,0.54,0.54,0.54,0.56,2,152,84.00,
514162,WELSPUN (I) ,A ,Q,70.90,71.55,69.65,70.15,70.15,70.90,1437,362641,25538756.00,
514165,IND.ACRYLICS,X ,Q,18.10,18.25,16.70,16.75,16.75,17.85,654,1061488,18778737.00,
